Id,Nome,Biblioteca de formas,ID da p´ágina,Contido por,Grupo,Origem da linha,Destino da linha,Seta de origem,Seta de destino,Status,Área de texto 1,Comentários
1,Documento,,,,,,,,,,LS,
2,Página,,,,,,,,,,Página 1,
3,Processo,Formas/contêineres de fluxograma,2,,,,,,,,User,
4,Decisão,Formas/contêineres de fluxograma,2,,,,,,,,Creates,
5,Processo,Formas/contêineres de fluxograma,2,,,,,,,,Route,
6,Processo,Formas/contêineres de fluxograma,2,,,,,,,,Activity,
7,Processo,Formas/contêineres de fluxograma,2,,,,,,,,Sport,
8,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,uid,
9,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,name,
10,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,sid,
11,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,aid,
12,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,rid,
13,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,email,
14,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,name,
15,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,description,
16,Decisão,Formas/contêineres de fluxograma,2,,,,,,,,Creates,
17,Decisão,Formas/contêineres de fluxograma,2,,,,,,,,Can be performed in,
18,Decisão,Formas/contêineres de fluxograma,2,,,,,,,,Participates,
19,Decisão,Formas/contêineres de fluxograma,2,,,,,,,,Involves an,
20,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,uuid,
21,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,startLocation,
22,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,endLocation,
23,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,distance,
24,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,date,
25,TerminatorBlock,Formas/contêineres de fluxograma,2,,,,,,,,duration,
26,Linha,,2,,,8,3,None,None,,,
27,Linha,,2,,,9,3,None,None,,,
28,Linha,,2,,,13,3,None,None,,,
29,Linha,,2,,,7,4,None,None,,N,
30,Linha,,2,,,4,3,None,None,,1,
31,Linha,,2,,,15,7,None,None,,,
32,Linha,,2,,,14,7,None,None,,,
33,Linha,,2,,,10,7,None,None,,,
34,Linha,,2,,,12,5,None,None,,,
35,Linha,,2,,,11,6,None,None,,,
36,Linha,,2,,,16,3,None,None,,N,
37,Linha,,2,,,16,5,None,None,,1,
38,Linha,,2,,,17,5,None,None,,1,
39,Linha,,2,,,6,17,None,None,,N,
40,Linha,,2,,,6,18,None,None,,N,
41,Linha,,2,,,3,18,None,None,,1,
42,Linha,,2,,,6,19,None,None,,N,
43,Linha,,2,,,7,19,None,None,,1,
44,Linha,,2,,,3,20,None,None,,,
45,Linha,,2,,,21,5,None,None,,,
46,Linha,,2,,,5,22,None,None,,,
47,Linha,,2,,,23,5,None,None,,,
48,Linha,,2,,,24,6,None,None,,,
49,Linha,,2,,,25,6,None,None,,,
